811717.4927,107398.8544,NaN,NaN,7.6,-76.79366958,34.69790866
811717.5039,107398.755,NaN,NaN,7.7,-76.79366948,34.69790776
811717.5151,107398.6556,NaN,NaN,7.8,-76.79366938,34.69790686
811717.5263,107398.5562,NaN,NaN,7.9,-76.79366928,34.69790597
811717.5375,107398.4569,NaN,NaN,8,-76.79366918,34.69790507
811717.5487,107398.3575,NaN,NaN,8.1,-76.79366909,34.69790417
811717.5598,107398.2581,NaN,NaN,8.2,-76.79366899,34.69790327
811717.571,107398.1588,NaN,NaN,8.3,-76.79366889,34.69790237
811717.5822,107398.0594,NaN,NaN,8.4,-76.79366879,34.69790148
811717.5934,107397.96,NaN,NaN,8.5,-76.79366869,34.69790058
811717.6046,107397.8606,NaN,NaN,8.6,-76.7936686,34.69789968
811717.6158,107397.7613,NaN,NaN,8.7,-76.7936685,34.69789878
811717.6269,107397.6619,NaN,NaN,8.8,-76.7936684,34.69789788
811717.6381,107397.5625,NaN,NaN,8.9,-76.7936683,34.69789699
811717.6493,107397.4631,NaN,NaN,9,-76.79366821,34.69789609
811717.6605,107397.3638,NaN,NaN,9.1,-76.79366811,34.69789519
811717.6717,107397.2644,NaN,NaN,9.2,-76.79366801,34.69789429
811717.6829,107397.165,NaN,NaN,9.3,-76.79366791,34.69789339
811717.694,107397.0657,NaN,NaN,9.4,-76.79366781,34.6978925
811717.7052,107396.9663,NaN,NaN,9.5,-76.79366772,34.6978916
811717.7164,107396.8669,NaN,NaN,9.6,-76.79366762,34.6978907
811717.7276,107396.7675,NaN,NaN,9.7,-76.79366752,34.6978898
811717.7388,107396.6682,NaN,NaN,9.8,-76.79366742,34.69788891
811717.75,107396.5688,NaN,NaN,9.9,-76.79366732,34.69788801
811717.7612,107396.4694,NaN,NaN,10,-76.79366723,34.69788711
811717.7723,107396.37,NaN,NaN,10.1,-76.79366713,34.69788621
811717.7835,107396.2707,NaN,NaN,10.2,-76.79366703,34.69788531
811717.7947,107396.1713,NaN,NaN,10.3,-76.79366693,34.69788442
811717.8059,107396.0719,NaN,NaN,10.4,-76.79366683,34.69788352
811717.8171,107395.9726,NaN,NaN,10.5,-76.79366674,34.69788262
811717.8283,107395.8732,NaN,NaN,10.6,-76.79366664,34.69788172
811717.8394,107395.7738,NaN,NaN,10.7,-76.79366654,34.69788082
811717.8506,107395.6744,NaN,NaN,10.8,-76.79366644,34.69787993
811717.8618,107395.5751,NaN,NaN,10.9,-76.79366634,34.69787903
811717.873,107395.4757,NaN,NaN,11,-76.79366625,34.69787813
811717.8842,107395.3763,NaN,NaN,11.1,-76.79366615,34.69787723
811717.8954,107395.2769,NaN,NaN,11.2,-76.79366605,34.69787634
811717.9065,107395.1776,NaN,NaN,11.3,-76.79366595,34.69787544
811717.9177,107395.0782,NaN,NaN,11.4,-76.79366585,34.69787454
811717.9289,107394.9788,NaN,NaN,11.5,-76.79366576,34.69787364
811717.9401,107394.8795,NaN,NaN,11.6,-76.79366566,34.69787274
811717.9513,107394.7801,NaN,NaN,11.7,-76.79366556,34.69787185
811717.9625,107394.6807,NaN,NaN,11.8,-76.79366546,34.69787095
811717.9737,107394.5813,NaN,NaN,11.9,-76.79366536,34.69787005
811717.9848,107394.482,NaN,NaN,12,-76.79366527,34.69786915
811717.996,107394.3826,NaN,NaN,12.1,-76.79366517,34.69786825
811718.0072,107394.2832,NaN,NaN,12.2,-76.79366507,34.69786736
811718.0184,107394.1839,NaN,NaN,12.3,-76.79366497,34.69786646
