BSS,Beach BSS,Cb,Color,Dhigh Diff,Dune BSS,Growth Factor,Label,RMSE,Round,Run,Score,Sim,Unnamed: 18,bedfriccoef,beta,facAs,facSk,lsgrad,m,vegDensity,wetslp
-2.431,-5.369,1.257,white,0.29600000000000004,-1.616,48.6,Bad Result,0.614,12,13.0,0,,,0.042,200,0.426,0.314,0.055,0.243,1.876,0.4920000000000001
-2.452,-4.795,1.279,white,0.385,-1.803,73.0,Bad Result,0.616,12,14.0,0,,,0.049,200,0.48,0.239,0.055,0.365,0.581,0.4920000000000001
-0.78,-2.256,0.662,lightgreen,-0.096,-0.371,53.79999999999999,Good Dune,0.442,12,15.0,1,,,0.043,200,0.438,0.293,0.055,0.269,0.518,0.482
-2.2030000000000003,-4.67,1.154,white,0.436,-1.519,46.2,Bad Result,0.593,12,16.0,0,,,0.042,200,0.407,0.424,0.055,0.231,1.403,0.463
-0.695,-2.428,0.652,white,-0.358,-0.215,111.4,Bad Result,0.4320000000000001,12,17.0,0,,,0.042,200,0.448,0.362,0.055,0.557,0.843,0.599
-3.244,-6.579,1.462,white,0.46,-2.32,30.6,Bad Result,0.6829999999999999,12,18.0,0,,,0.057,200,0.201,0.4320000000000001,0.055,0.153,1.164,0.5539999999999999
-0.889,-2.908,0.76,white,-0.37,-0.329,60.0,Bad Result,0.456,12,19.0,0,,,0.044,200,0.44,0.329,0.055,0.3,0.627,0.578
-0.779,-2.23,0.636,white,-0.161,-0.377,34.6,Bad Result,0.442,12,20.0,0,,,0.043,200,0.461,0.374,0.055,0.173,0.8959999999999999,0.487
-1.406,-3.0580000000000003,0.851,lightgreen,0.012,-0.948,82.2,Good Dune,0.514,12,21.0,1,,,0.045,200,0.354,0.321,0.055,0.411,1.78,0.369
-0.939,-3.09,0.74,white,-0.35700000000000004,-0.342,38.4,Bad Result,0.461,12,22.0,0,,,0.059,200,0.325,0.215,0.055,0.192,0.685,0.5760000000000001
-1.147,-2.447,0.838,lightgreen,0.058,-0.787,69.0,Good Dune,0.486,12,23.0,1,,,0.056,200,0.47,0.311,0.055,0.345,1.236,0.378
-1.651,-4.404,0.904,white,0.129,-0.888,44.2,Bad Result,0.54,12,24.0,0,,,0.059,200,0.229,0.24,0.055,0.221,1.085,0.586
-1.232,-2.722,0.735,lightgreen,-0.08,-0.8190000000000001,26.0,Good Dune,0.495,12,25.0,1,,,0.041,200,0.306,0.446,0.055,0.13,1.3630000000000002,0.354
-2.447,-4.806,1.232,white,0.408,-1.793,85.0,Bad Result,0.615,12,26.0,0,,,0.046,200,0.394,0.335,0.055,0.425,0.753,0.487
-2.505,-5.4,1.187,white,0.259,-1.703,38.8,Bad Result,0.621,12,27.0,0,,,0.056,200,0.255,0.311,0.055,0.194,1.617,0.506
-2.517,-5.229,1.276,white,0.482,-1.765,113.0,Bad Result,0.622,12,28.0,0,,,0.046,200,0.34600000000000003,0.331,0.055,0.565,0.622,0.462
-2.497,-5.171,1.318,white,0.424,-1.756,71.0,Bad Result,0.62,12,29.0,0,,,0.056,200,0.438,0.393,0.055,0.355,1.263,0.445
-2.97,-5.752999999999999,1.439,darkgrey,0.442,-2.199,55.00000000000001,Fenced Dune,0.66,12,30.0,4,,,0.052000000000000005,200,0.463,0.365,0.055,0.275,1.2990000000000002,0.506
-1.942,-4.025,0.971,white,0.266,-1.364,50.2,Bad Result,0.568,12,31.0,0,,,0.045,200,0.269,0.453,0.055,0.251,0.812,0.399
-1.737,-3.888,0.936,white,0.138,-1.14,42.8,Bad Result,0.5479999999999999,12,32.0,0,,,0.044,200,0.293,0.477,0.055,0.214,0.7559999999999999,0.458
-5.466,-3.1830000000000003,0.939,firebrick,0.993,-6.099,118.0,Extreme Change,0.843,12,33.0,6,,,0.052000000000000005,200,0.233,0.277,0.055,0.59,1.857,0.452
-2.339,-5.191,1.211,white,0.232,-1.548,80.2,Bad Result,0.606,12,34.0,0,,,0.046,200,0.267,0.235,0.055,0.401,0.893,0.424
-0.936,-2.218,0.586,white,-0.15,-0.58,70.8,Bad Result,0.461,12,35.0,0,,,0.059,200,0.279,0.44,0.055,0.354,1.136,0.35700000000000004
-1.992,-5.103,1.079,white,-0.191,-1.129,68.8,Bad Result,0.573,12,36.0,0,,,0.051,200,0.271,0.338,0.055,0.344,1.595,0.591
-1.707,-3.713,0.989,white,0.244,-1.151,43.2,Bad Result,0.545,12,37.0,0,,,0.047,200,0.387,0.404,0.055,0.21600000000000005,1.2819999999999998,0.449
-2.812,-5.415,1.385,white,0.4920000000000001,-2.091,23.8,Bad Result,0.647,12,38.0,0,,,0.045,200,0.474,0.439,0.055,0.119,1.982,0.375
-0.7909999999999999,-1.999,0.637,white,-0.206,-0.456,88.0,Bad Result,0.444,12,39.0,0,,,0.05,200,0.416,0.232,0.055,0.44,1.003,0.513
-2.903,-6.21,1.404,darkgrey,0.34600000000000003,-1.986,91.6,Fenced Dune,0.655,12,40.0,4,,,0.044,200,0.467,0.3,0.055,0.458,1.669,0.525
-1.898,-3.882,1.0,white,0.289,-1.348,94.4,Bad Result,0.564,12,41.0,0,,,0.052000000000000005,200,0.344,0.471,0.055,0.472,0.546,0.502
-2.073,-5.431,1.077,white,-0.287,-1.142,100.6,Bad Result,0.581,12,42.0,0,,,0.041,200,0.255,0.272,0.055,0.503,1.789,0.5720000000000001
-3.138,-6.127000000000002,1.479,white,0.482,-2.309,36.8,Bad Result,0.674,12,43.0,0,,,0.041,200,0.414,0.35,0.055,0.184,1.235,0.468
-0.584,-2.171,0.5710000000000001,white,-0.396,-0.14400000000000002,24.2,Bad Result,0.417,12,44.0,0,,,0.056,200,0.35600000000000004,0.229,0.055,0.121,1.523,0.555
-2.268,-4.4860000000000015,1.16,white,0.359,-1.653,35.0,Bad Result,0.599,12,45.0,0,,,0.056,200,0.35600000000000004,0.4920000000000001,0.055,0.175,1.584,0.512
-2.945,-5.7189999999999985,1.325,white,0.504,-2.176,63.2,Bad Result,0.6579999999999999,12,46.0,0,,,0.048,200,0.225,0.24,0.055,0.316,1.181,0.393
-0.599,-2.015,0.56,white,-0.255,-0.206,100.4,Bad Result,0.419,12,47.0,0,,,0.053,200,0.32,0.358,0.055,0.502,1.747,0.454
-1.849,-4.228,0.932,white,0.15,-1.189,49.2,Bad Result,0.5589999999999999,12,48.0,0,,,0.042,200,0.205,0.495,0.055,0.246,1.442,0.392
-1.6230000000000002,-4.356,0.99,lightgreen,-0.053,-0.8640000000000001,39.8,Good Dune,0.537,12,49.0,1,,,0.041,200,0.302,0.485,0.055,0.199,1.0590000000000002,0.58
-1.546,-3.414,0.923,white,0.212,-1.029,47.0,Bad Result,0.529,12,50.0,0,,,0.06,200,0.364,0.483,0.055,0.235,1.607,0.454
-2.142,-4.859,1.166,white,0.168,-1.389,90.2,Bad Result,0.5870000000000001,12,51.0,0,,,0.044,200,0.362,0.409,0.055,0.451,0.952,0.517
-1.106,-3.488,0.6709999999999999,white,-0.233,-0.446,120.0,Bad Result,0.481,12,52.0,0,,,0.053,200,0.21,0.368,0.055,0.6,0.6920000000000001,0.57
-1.519,-3.582,0.961,cornflowerblue,0.046,-0.948,56.8,Good Dune and Beach,0.526,12,53.0,3,,,0.053,200,0.494,0.247,0.055,0.284,0.7859999999999999,0.564
-1.71,-4.191,0.928,cornflowerblue,0.024,-1.022,39.0,Good Dune and Beach,0.546,12,54.0,3,,,0.045,200,0.345,0.236,0.055,0.195,1.064,0.4970000000000001
-1.254,-3.176,0.752,lightgreen,-0.017,-0.722,78.2,Good Dune,0.498,12,55.0,1,,,0.056,200,0.287,0.385,0.055,0.391,1.077,0.416
-1.194,-3.447,0.8440000000000001,white,-0.297,-0.569,93.0,Bad Result,0.491,12,56.0,0,,,0.058,200,0.375,0.232,0.055,0.465,1.974,0.5770000000000001
-2.231,-5.202000000000001,1.094,lightgreen,0.096,-1.4069999999999998,46.0,Good Dune,0.596,12,57.0,1,,,0.043,200,0.207,0.328,0.055,0.23,1.727,0.428
-0.6920000000000001,-1.904,0.594,white,-0.319,-0.35600000000000004,62.2,Bad Result,0.431,12,58.0,0,,,0.054000000000000006,200,0.38,0.341,0.055,0.311,0.768,0.524
-0.693,-2.431,0.569,white,-0.307,-0.211,23.4,Bad Result,0.431,12,59.0,0,,,0.048,200,0.29600000000000004,0.359,0.055,0.117,1.4580000000000002,0.514
-3.059,-5.297999999999999,1.469,white,0.679,-2.439,91.8,Bad Result,0.6679999999999999,12,60.0,0,,,0.052000000000000005,200,0.359,0.298,0.055,0.459,1.73,0.376
-0.742,-2.492,0.591,white,-0.145,-0.256,62.4,Bad Result,0.4370000000000001,12,61.0,0,,,0.049,200,0.28,0.246,0.055,0.312,1.668,0.42
-2.857,-5.705,1.375,white,0.414,-2.068,65.8,Bad Result,0.6509999999999999,12,62.0,0,,,0.059,200,0.355,0.483,0.055,0.329,1.291,0.509
-1.181,-2.702,0.789,lightgreen,-0.055,-0.759,87.6,Good Dune,0.489,12,63.0,1,,,0.045,200,0.402,0.409,0.055,0.438,0.861,0.3670000000000001
-2.943,-5.987,1.344,darkgrey,0.48,-2.1,86.8,Fenced Dune,0.6579999999999999,12,64.0,4,,,0.04,200,0.303,0.434,0.055,0.434,0.836,0.519
-3.258,-6.058,1.416,white,0.584,-2.482,58.6,Bad Result,0.684,12,65.0,0,,,0.049,200,0.2,0.339,0.055,0.293,1.403,0.456
-2.432,-5.034,1.285,white,0.435,-1.711,52.2,Bad Result,0.614,12,66.0,0,,,0.054000000000000006,200,0.341,0.211,0.055,0.261,1.655,0.394
-1.185,-3.301,0.841,darkgrey,-0.35,-0.599,35.2,Fenced Dune,0.49,12,67.0,4,,,0.045,200,0.382,0.258,0.055,0.17600000000000002,1.21,0.535
