Generation,Simulation,m,Cb,facAs,facSk,lsgrad,bedfric,wetslp,vegDensity,RMSE,Dune RMSE,Beach RMSE,BSS,Dune BSS,Beach BSS,BSS Label,Dune BSS Label,Beach BSS Label,Folder,Profile,Long
2,9,3.3406,1.5654,0.6893,0.659,-0.0831,0.3511,0.0993,6.6847,12.6745,13.5056,12.4684,-345.6674,-1474.8405,-284.6201,Very Poor,Very Poor,Very Poor,run04142021023515_805947,1,False
2,10,0.1717,1.359,0.4117,0.2246,0.0604,0.1967,0.2554,2.9153,1.215,1.3844,1.1711,-2.1858,-14.5068,-1.5197,Very Poor,Very Poor,Very Poor,run04142021023515_820807,1,False
2,11,1.2898,0.7825,0.397,0.0085,-0.0108,0.1522,0.4076,5.5221,6.7908,7.5091,6.6083,-98.5158,-455.2324,-79.2304,Very Poor,Very Poor,Very Poor,run04142021023515_885378,1,False
2,12,3.3124,1.9309,0.3832,0.3233,0.0221,0.0697,0.8389,5.1185,0.7674,1.4879,0.4494,-0.2707,-16.9124,0.629,Very Poor,Very Poor,Good,run04142021023515_894991,1,False
2,13,0.5743,2.625,0.6292,0.4673,-0.0309,0.4637,0.3596,7.4966,10.1364,10.8984,9.9463,-220.7253,-960.0302,-180.7557,Very Poor,Very Poor,Very Poor,run04142021023515_90827,1,False
2,14,2.0447,1.017,0.9501,0.5446,0.0163,0.0776,0.2184,5.718,0.4999,0.8111,0.3908,0.4608,-4.3229,0.7194,Fair,Very Poor,Good,run04142021023515_939017,1,False
3,1,3.0029,1.4107,0.7082,0.4779,0.006,0.1321,0.821,2.5752,5.1484,1.8915,5.6537,-56.1995,-27.9467,-57.7269,Very Poor,Very Poor,Very Poor,run04152021142124_123858,1,False
3,2,1.516,1.0319,0.9472,0.1886,0.0832,0.0534,0.461,1.4121,1.0806,1.1886,1.0532,-1.5197,-10.4315,-1.0379,Very Poor,Very Poor,Very Poor,run04152021142124_163189,1,False
3,3,1.8787,0.2955,0.5307,0.5734,-0.0279,0.1699,0.3167,1.9802,10.2035,10.9661,10.0134,-223.6729,-972.0089,-183.215,Very Poor,Very Poor,Very Poor,run04152021142124_182367,1,False
3,4,3.011,0.446,0.2549,0.3384,0.0052,0.3737,0.6809,7.5461,0.6838,1.2988,0.421,-0.009,-12.6483,0.6743,Very Poor,Very Poor,Good,run04152021142124_202770,1,False
3,5,0.0278,2.1208,0.0047,0.5278,0.0646,0.4091,0.6638,9.5941,1.2827,1.7612,1.1395,-2.5507,-24.0983,-1.3857,Very Poor,Very Poor,Very Poor,run04152021142124_363070,1,False
3,6,2.8519,0.1517,0.7076,0.5713,0.0238,0.3052,0.6239,8.5093,4.6103,1.8209,5.0524,-44.8683,-25.8273,-45.8978,Very Poor,Very Poor,Very Poor,run04152021142124_571216,1,False
3,7,1.2898,0.3873,0.397,0.3231,-0.0108,0.1522,0.4076,5.5221,7.9364,8.6525,7.7561,-134.9235,-604.75,-109.5229,Very Poor,Very Poor,Very Poor,run04152021142124_613372,1,False
3,8,1.3311,1.7235,0.2384,0.5898,-0.0973,0.2397,0.438,2.1097,12.5394,13.3576,12.3366,-338.3171,-1442.6543,-278.6125,Very Poor,Very Poor,Very Poor,run04152021142124_630988,1,False
3,9,3.5311,2.8287,0.9056,0.4988,0.0202,0.1416,0.8454,6.8128,10.5886,3.5423,11.6544,-240.9501,-100.5274,-248.5418,Very Poor,Very Poor,Very Poor,run04152021142124_723608,1,False
3,10,1.0557,1.7287,0.427,0.2674,0.0489,0.3663,0.8464,8.0604,1.1277,1.4363,1.0408,-1.7444,-15.6927,-0.9903,Very Poor,Very Poor,Very Poor,run04152021142124_729075,1,False
3,11,2.6143,1.107,0.963,0.1216,0.0598,0.3861,0.0922,1.1353,0.8359,1.2311,0.7101,-0.5079,-11.2638,0.0736,Very Poor,Very Poor,Poor,run04152021142124_803720,1,False
3,12,3.3324,1.8695,0.7193,0.2621,0.0612,0.2922,0.4349,2.4406,1.0412,1.3331,0.9587,-1.3395,-13.3803,-0.6885,Very Poor,Very Poor,Very Poor,run04152021142124_823074,1,False
3,13,1.1258,1.2407,0.6393,0.0936,0.0823,0.3354,0.5911,6.13,1.2265,1.2822,1.2128,-2.2461,-12.302,-1.7025,Very Poor,Very Poor,Very Poor,run04152021142124_907545,1,False
4,1,0.4192,1.4404,0.3843,0.5321,0.0806,0.1728,0.528,4.3168,1.2466,1.3695,1.2155,-2.3536,-14.1759,-1.7145,Very Poor,Very Poor,Very Poor,run04162021230248_268141,1,False
4,2,2.7673,1.0594,0.634,0.4788,0.0143,0.1365,0.8491,4.2561,3.3617,0.9228,3.7134,-23.3882,-5.8903,-24.3342,Very Poor,Very Poor,Very Poor,run04162021230248_391928,1,False
4,3,0.1723,1.4941,0.5133,0.6223,-0.0278,0.2148,0.3054,2.9027,10.3051,11.0696,10.1145,-228.1675,-990.4615,-186.9551,Very Poor,Very Poor,Very Poor,run04162021230248_428656,1,False
4,4,2.2807,1.4265,0.6466,0.4184,-0.031,0.4188,0.371,6.574,9.9933,10.7522,9.8039,-214.5108,-934.4207,-175.5898,Very Poor,Very Poor,Very Poor,run04162021230248_480340,1,False
4,5,1.1017,1.0126,0.7686,0.2221,0.0826,0.3645,0.6489,7.3034,1.1465,1.2142,1.1297,-1.8365,-10.9291,-1.3449,Very Poor,Very Poor,Very Poor,run04162021230248_505161,1,False
4,6,3.3324,1.8695,0.7193,0.2621,0.0612,0.2922,0.4349,2.4406,1.0409,1.3313,0.9589,-1.3381,-13.3405,-0.6892,Very Poor,Very Poor,Very Poor,run04162021230248_709039,1,False
4,7,2.6143,1.107,0.963,0.1216,0.0598,0.4787,0.7989,1.1353,0.9274,1.2171,0.8439,-0.8561,-10.9866,-0.3084,Very Poor,Very Poor,Very Poor,run04162021230248_731141,1,False
4,8,1.8726,1.6974,0.5704,0.5404,0.0949,0.0147,0.2436,0.2412,,,,1.0,1.0,1.0,Excellent,Excellent,Excellent,run04162021230248_758874,1,False
4,9,2.2495,0.4099,0.5397,0.3303,-0.0174,0.1578,0.3582,5.4078,8.8083,9.5585,8.6201,-166.4308,-738.2416,-135.5165,Very Poor,Very Poor,Very Poor,run04162021230248_761853,1,False
4,10,1.5401,1.26,0.8179,0.0602,0.0829,0.0243,0.4032,0.2386,0.9601,1.3078,0.8568,-0.9893,-12.8387,-0.3486,Very Poor,Very Poor,Very Poor,run04162021230248_770990,1,False
4,11,2.5839,0.4421,0.4055,0.3866,-0.0091,0.1029,0.7767,5.0126,7.9521,8.6757,7.7699,-135.4648,-608.0054,-109.9175,Very Poor,Very Poor,Very Poor,run04162021230248_989192,1,False
4,12,3.7667,1.0226,0.9797,0.4979,0.0119,0.1372,0.8172,5.1319,5.971,1.0676,6.6234,-75.9382,-8.2219,-79.5992,Very Poor,Very Poor,Very Poor,run04162021230248_995944,1,False
1,1,8.2348,0.2286,0.9684,1.0491,-0.102,0.0004,0.7252,0.1042,42.9715,55.993,26.3811,-22021.4928,-51970.5783,-6636.627,Very Poor,Very Poor,Very Poor,run04122021115225_100186,3,False
1,2,8.7041,0.2183,1.0273,0.9805,-0.1,0.0004,0.7443,0.1002,15.9581,16.8513,15.1161,-3036.1616,-4706.2195,-2178.2517,Very Poor,Very Poor,Very Poor,run04122021115225_128403,3,False
1,3,8.0762,0.2247,0.9964,0.9523,-0.0973,0.0004,0.7906,0.0964,16.202,17.3015,15.1531,-3129.7003,-4961.0881,-2188.9152,Very Poor,Very Poor,Very Poor,run04122021115225_182147,3,False
1,4,8.3377,0.2164,1.0401,0.9841,-0.0999,0.0004,0.7776,0.0953,71.266,80.6589,61.6826,-60570.7495,-107844.7831,-36286.046,Very Poor,Very Poor,Very Poor,run04122021115225_214031,3,False
1,5,8.2059,0.2222,0.9644,1.0255,-0.1038,0.0004,0.7257,0.0956,16.3894,17.3893,15.4421,-3202.5636,-5011.6112,-2273.2547,Very Poor,Very Poor,Very Poor,run04122021115225_26763,3,False
1,6,8.7395,0.2182,0.9508,0.9818,-0.098,0.0004,0.7392,0.0984,15.8112,16.6112,15.061,-2980.4937,-4573.0509,-2162.3959,Very Poor,Very Poor,Very Poor,run04122021115225_297274,3,False
1,7,8.5263,0.214,1.0284,0.9599,-0.1013,0.0004,0.734,0.1048,16.8193,18.4113,15.2582,-3372.8243,-5618.1008,-2219.4242,Very Poor,Very Poor,Very Poor,run04122021115225_324318,3,False
1,8,8.7643,0.2139,0.9599,1.0492,-0.0955,0.0004,0.7429,0.1024,649.2044,1.6415,893.1815,-5026522.1559,-43.6668,-7608627.6077,Very Poor,Very Poor,Very Poor,run04122021115225_334032,3,False
1,9,8.7903,0.2255,1.0489,0.9595,-0.0996,0.0004,0.7233,0.0986,486.2311,500.2457,473.3676,-2819616.9613,-4148255.3014,-2137094.5336,Very Poor,Very Poor,Very Poor,run04122021115225_403236,3,False
1,10,8.6783,0.2275,1.0471,0.994,-0.1036,0.0004,0.7646,0.0986,16.0027,16.8141,15.2417,-3053.1527,-4685.4887,-2214.6206,Very Poor,Very Poor,Very Poor,run04122021115225_489488,3,False
1,11,8.7383,0.2104,1.0316,1.0134,-0.0994,0.0004,0.76,0.0979,503.4901,732.9797,12.1575,-3023336.6951,-8905999.7103,-1408.6643,Very Poor,Very Poor,Very Poor,run04122021115225_503868,3,False
1,12,8.51,0.2128,0.9622,0.9711,-0.0982,0.0004,0.7878,0.1011,15.8072,16.6175,15.047,-2978.9942,-4576.4942,-2158.3574,Very Poor,Very Poor,Very Poor,run04122021115225_550310,3,False
1,13,8.2846,0.2149,0.9599,1.0092,-0.1044,0.0004,0.7245,0.1026,20.4069,17.279,22.8404,-4965.578,-4948.2364,-4974.4863,Very Poor,Very Poor,Very Poor,run04122021115225_569982,3,False
1,14,8.4054,0.227,0.9957,0.9967,-0.096,0.0004,0.7302,0.1033,491.5436,2.932,676.2657,-2881567.213,-141.5063,-4361757.5773,Very Poor,Very Poor,Very Poor,run04122021115225_601927,3,False
1,15,8.7768,0.2086,1.0303,1.032,-0.1025,0.0004,0.7903,0.0955,1242.1967,1808.0584,44.2818,-18402867.6955,-54190569.8517,-18700.5212,Very Poor,Very Poor,Very Poor,run04122021115225_634373,3,False
1,16,8.5838,0.2108,1.0233,1.0212,-0.1008,0.0004,0.7883,0.0994,5.9909,1.2745,8.1539,-427.0489,-25.9279,-633.105,Very Poor,Very Poor,Very Poor,run04122021115225_736569,3,False
