BSS,Beach BSS,Cb,Color,Dhigh Diff,Dune BSS,Growth Factor,Label,RMSE,Round,Run,Run.1,Score,Sim,bedfriccoef,beta,facAs,facSk,lsgrad,m,vegDensity,wetslp
-0.36340764,-1.325566104,0.086,white,0.035457089,0.598750824,2017.0,Bad Result,,1,29.0,,0,29.0,0.024,200,0.716,0.715,0.027999999999999997,10.085,,0.414
-0.094911741,-0.7548644520000001,0.069,firebrick,0.10605712199999999,0.565040969,2065.6,Extreme Change,,1,30.0,,6,30.0,0.024,200,0.732,0.725,0.018000000000000002,10.328,,0.408
-0.29768254899999996,-1.1915873559999999,0.063,white,0.035857156,0.596222259,1415.4,Bad Result,,1,31.0,,0,31.0,0.023,200,0.6709999999999999,0.648,0.051,7.077000000000001,,0.397
-0.292121684,-1.176440489,0.055,white,0.036657287999999996,0.5921971220000001,1341.4,Bad Result,,1,32.0,,0,32.0,0.024,200,0.667,0.657,0.06,6.7070000000000025,,0.396
0.617952517,0.667529802,0.138,orange,0.071957543,0.5683752320000001,2809.8,Good Beach,,1,33.0,,2,33.0,0.024,200,0.667,0.633,-0.016,14.049000000000001,,0.408
-101.2651829,-199.3401476,0.096,firebrick,-2.838942232,-3.1902181639999996,1524.4,Extreme Change,,1,34.0,,6,34.0,0.024,200,0.7020000000000001,0.647,-0.032,7.622000000000001,,0.4
-0.316962973,-1.23352428,0.086,white,0.035757497,0.599598335,1848.4,Bad Result,,1,35.0,,0,35.0,0.023,200,0.621,0.6509999999999999,0.046,9.242,,0.418
0.61495473,0.658938319,0.084,white,0.08725734,0.570971141,2460.6,Bad Result,,1,36.0,,0,36.0,0.025,200,0.685,0.648,0.006999999999999999,12.302999999999999,,0.406
-0.24161815,-1.078235752,0.055,white,0.044057324,0.594999452,2042.2,Bad Result,,1,37.0,,0,37.0,0.024,200,0.674,0.695,0.032,10.211,,0.401
-0.27668250899999997,-1.13457551,0.034,white,0.042517617,0.5812104920000001,2976.0,Bad Result,,1,38.0,,0,38.0,0.023,200,0.725,0.73,0.046,14.88,,0.39799999999999996
0.24712287300000002,-0.084645106,0.105,white,0.059157327,0.578890852,1670.8,Bad Result,,1,39.0,,0,39.0,0.024,200,0.628,0.7070000000000001,-0.033,8.354,,0.405
0.454460962,0.339788298,0.109,orange,0.08155722900000001,0.569133625,2558.2,Good Beach,,1,40.0,,2,40.0,0.024,200,0.727,0.727,-0.006999999999999999,12.790999999999999,,0.396
-0.34555362799999995,-1.282046362,0.11199999999999999,white,0.042457059000000005,0.590939106,1061.0,Bad Result,,1,41.0,,0,41.0,0.024,200,0.675,0.6779999999999999,0.057999999999999996,5.305,,0.409
0.606441332,0.637790333,0.11900000000000001,orange,0.057357266,0.575092331,2718.8,Good Beach,,1,42.0,,2,42.0,0.025,200,0.685,0.642,-0.018000000000000002,13.594000000000001,,0.391
0.6713842659999999,0.754557347,0.048,orange,0.052057220999999994,0.588211186,1979.8,Good Beach,,1,43.0,,2,43.0,0.024,200,0.737,0.706,0.012,9.899,,0.392
0.377025661,0.168043406,0.035,white,0.063057378,0.586007917,2364.0,Bad Result,,1,44.0,,0,44.0,0.025,200,0.619,0.6829999999999999,-0.034,11.82,,0.415
-0.285715463,-1.162924694,0.046,white,0.038957551,0.591493768,2444.8,Bad Result,,1,45.0,,0,45.0,0.024,200,0.696,0.682,0.066,12.224,,0.414
0.541514964,0.512192505,0.078,orange,0.09115739099999999,0.570837424,1907.6,Good Beach,,1,46.0,,2,46.0,0.023,200,0.7170000000000001,0.63,-0.03,9.538,,0.402
0.380284447,0.183652515,0.11800000000000001,white,0.057657197,0.57691638,2662.8,Bad Result,,1,47.0,,0,47.0,0.024,200,0.618,0.6679999999999999,0.015,13.314,,0.41
-0.297726641,-1.1924350559999999,0.062,white,0.028657391,0.596981774,2256.0,Bad Result,,1,48.0,,0,48.0,0.023,200,0.6659999999999999,0.622,0.067,11.28,,0.39299999999999996
-0.290042898,-1.1718947929999999,0.052000000000000005,white,0.038557485,0.591808997,1744.8,Bad Result,,1,49.0,,0,49.0,0.025,200,0.674,0.6609999999999999,0.063,8.724,,0.392
-0.296121288,-1.1891780440000002,0.06,white,0.034757092,0.596935467,2475.8,Bad Result,,1,50.0,,0,50.0,0.024,200,0.665,0.6859999999999999,0.062,12.379000000000001,,0.419
-0.24554091,-1.0794863000000001,0.107,white,0.043357327,0.58840448,1603.0,Bad Result,,1,51.0,,0,51.0,0.024,200,0.6970000000000001,0.685,0.035,8.015,,0.395
-0.309721054,-1.18918509,0.14,white,0.077957108,0.5697429820000001,1256.0,Bad Result,,1,52.0,,0,52.0,0.025,200,0.632,0.624,0.019,6.28,,0.41
-0.237306378,-0.146026401,0.071,white,0.43325658100000003,-0.32858635399999997,1380.8,Bad Result,,1,53.0,,0,53.0,0.025,200,0.67,0.738,-0.027000000000000003,6.904,,0.409
0.406327554,0.252343596,0.051,orange,0.112857297,0.5603115129999999,1752.6,Good Beach,,1,54.0,,2,54.0,0.024,200,0.6659999999999999,0.6779999999999999,-0.031,8.763,,0.397
-0.630157863,-1.8568056,0.094,white,0.033857301,0.596489874,1769.2,Bad Result,,1,55.0,,0,55.0,0.024,200,0.643,0.655,0.025,8.846,,0.415
-32.89230418,-56.53481971,0.11,firebrick,-0.9887423959999999,-9.249788662,2965.4,Extreme Change,,1,56.0,,6,56.0,0.025,200,0.655,0.69,-0.033,14.827,,0.41600000000000004
0.57197893,0.5828985560000001,0.059000000000000004,firebrick,0.109057382,0.561059303,2635.6,Extreme Change,,1,57.0,,6,57.0,0.024,200,0.687,0.623,0.003,13.177999999999999,,0.395
0.616519884,0.663541685,0.077,white,0.09495730699999999,0.5694980820000001,1357.6,Bad Result,,1,58.0,,0,58.0,0.024,200,0.622,0.6920000000000001,0.009000000000000001,6.787999999999999,,0.41100000000000003
0.441497394,0.292318195,0.034,orange,0.05445762,0.590676593,2277.0,Good Beach,,1,59.0,,2,59.0,0.024,200,0.619,0.6579999999999999,0.016,11.385,,0.402
0.425492855,0.286349583,0.109,white,0.09275718,0.564636126,2640.0,Bad Result,,1,60.0,,0,60.0,0.023,200,0.736,0.684,-0.008,13.2,,0.408
0.60899805,0.651146242,0.13,orange,0.076857522,0.566849857,2629.4,Good Beach,,2,,1.0,2,1.0,0.024,200,0.627,0.73,0.012,13.147,,0.39299999999999996
0.639750218,0.706333139,0.09,orange,0.084057286,0.573167297,1557.0,Good Beach,,2,,2.0,2,2.0,0.023,200,0.7340000000000001,0.736,0.012,7.785,,0.419
0.6762534570000001,0.78111311,0.083,orange,0.08725734,0.571393803,2914.4,Good Beach,,2,,3.0,2,3.0,0.024,200,0.7140000000000001,0.637,0.012,14.572000000000001,,0.41700000000000004
0.634161025,0.7008561409999999,0.136,orange,0.073457196,0.567465908,2584.4,Good Beach,,2,,4.0,2,4.0,0.025,200,0.695,0.624,0.012,12.922,,0.418
0.649895224,0.7304226140000001,0.113,orange,0.079557374,0.569367835,2357.4,Good Beach,,2,,5.0,2,5.0,0.024,200,0.7070000000000001,0.667,0.012,11.787,,0.395
0.684630539,0.7841356070000001,0.034,orange,0.067257359,0.585125471,2412.0,Good Beach,,2,,6.0,2,6.0,0.023,200,0.6459999999999999,0.626,0.012,12.06,,0.415
