Profile,xMHW,yMHW,xToe,yToe,xCrest,yCrest,xHeel,yHeel,Beach Width,Beach Slope,Dune Width,Dune Slope,Dune Volume,x2m,y2m,2016 Crest Index,2016 yCrest,2016 xToe,2016 xHeel,2016 Dune Volume,2016 xMHW,2016 Beach Volume,Lon,Lat,Heel Lon,Heel Lat,Orientation,2017 Heel Index,2017 Toe Index,2017 Dune Volume
1,344.3,0.33678,284.8,1.989,268.2,4.4008,262.8,1.7097,59.5,0.027769,22,0.14529,29.011,331.7,1.9931,6296,4.0421,6240,6367,44.281,5943,57.789,-77.093,34.644,-77.094,34.644,3.4858,6371,6228,48.478
2,258.5,0.33236,213.4,2.4453,196,4.5628,193,3.5085,45.1,0.04685,20.4,0.1217,23.846,242.3,1.98,6888,2.6748,6740,6953,56.714,6374,NaN,-77.074,34.65,-77.075,34.651,3.5672,6960,6601,92.943
3,263.5,0.33524,209.9,2.1885,205.6,3.6953,202.3,3.2199,53.6,0.034576,7.6,0.35041,6.7361,238.8,1.9914,6895,2.1975,6717,6968,62.554,6364,58.409,-77.052,34.656,-77.052,34.656,3.5132,6976,6648,82.276
4,256.1,0.33231,208.1,2.5656,201.7,3.8562,197.4,3.4653,48,0.046527,10.7,0.20165,8.3432,232.9,1.9908,6887,2.469,6792,6910,29.438,6442,60.993,-77.029,34.661,-77.03,34.662,3.4616,6919,6817,25.388
5,252.6,0.44511,211.2,2.4968,205.2,3.9215,202.9,4.0008,41.4,0.049559,8.3,0.23744,7.0778,236.7,1.9644,6892,2.5231,6804,6913,26.3,6467,NaN,-77.009,34.666,-77.009,34.666,3.4325,6914,6781,31.587
6,250.5,0.33131,205.9,2.4301,198.5,4.1649,197.1,4.1871,44.6,0.047057,8.8,0.23443,8.4902,235.7,1.9913,6899,2.3719,6812,6931,28.627,6476,60.674,-76.988,34.67,-76.988,34.67,3.4348,6952,6819,32.047
7,269.2,0.57841,228.3,2.7184,224.3,4.422,219.3,3.5259,40.9,0.052323,9,0.4259,7.6809,245.3,1.9713,6759,4.4017,6621,6781,46.491,6321,50.834,-76.965,34.674,-76.965,34.674,3.377,6788,6672,36.882
8,262.2,0.44055,229.6,2.0094,216.6,3.8144,212.6,3.629,32.6,0.048125,17,0.13884,16.994,243,1.9865,6841,3.7996,6753,6886,44.4,6415,59.754,-76.946,34.677,-76.946,34.677,3.3374,6858,6765,31.12
9,261.6,0.33507,221.7,2.5521,209.7,4.4016,206.5,3.5292,39.9,0.055566,15.2,0.15412,14.304,232.4,1.999,6892,3.8568,6740,6928,61.138,6456,50.025,-76.922,34.68,-76.922,34.681,3.347,6936,6798,49.376
10,269.6,0.69459,209.4,3.6583,199,6.3891,190.5,5.9496,60.2,0.049231,18.9,0.26258,34.805,245.7,1.9909,6779,3.6733,6725,6868,51.113,6390,74.154,-76.902,34.683,-76.902,34.684,3.3491,6831,6748,30.287
11,253.9,0.90964,219.4,2.54,213.8,4.471,210.6,3.72,34.5,0.047256,8.8,0.34483,8.526,233.6,1.9905,6849,3.5322,6737,6894,47.005,6416,NaN,-76.882,34.686,-76.882,34.687,3.3591,6886,6745,42.183
12,248.2,0.72523,211.7,2.5193,208.2,3.9629,208,3.9741,36.5,0.049153,3.7,0.41245,2.3022,232.8,1.9969,6839,2.1963,6555,6860,61.343,6402,NaN,-76.858,34.689,-76.858,34.69,3.281,6783,6646,29.083
13,237,1.1151,215.9,2.5251,209.3,3.9185,207.7,3.5459,21.1,0.066823,8.2,0.21113,4.9692,230,1.9604,6897,3.282,6784,6923,39.551,6492,NaN,-76.838,34.692,-76.838,34.692,3.2941,6928,6817,33.198
