Profile,xMHW,yMHW,xToe,yToe,xCrest,yCrest,xHeel,yHeel,Beach Width,Beach Slope,Dune Width,Dune Slope,Dune Volume,x2m,y2m,2016 Crest Index,2016 yCrest,2016 xToe,2016 xHeel,2016 Dune Volume,2016 xMHW,2016 Beach Volume,Lon,Lat,Heel Lon,Heel Lat,Orientation,2017 Heel Index,2017 Toe Index,2017 Dune Volume
1,339.4,0.85286,277.3,2.0503,269.8,3.6595,263,1.4687,62.1,0.019282,14.3,0.21456,17.499,278.8,1.9981,6296,3.6045,6240,6367,35.398,5943,53.721,-77.093,34.644,-77.094,34.644,3.4858,6371,6228,17.499
2,255.8,0.95662,240,1.267,212.3,4.6444,204.1,3.436,15.8,0.019645,35.9,0.12193,65.973,232.3,1.997,6888,4.471,6740,6953,81.706,6374,NaN,-77.075,34.65,-77.075,34.65,3.5672,6960,6601,65.973
3,255.9,1.6403,235.3,1.5807,212.3,4.0386,202.5,3.1817,20.6,0.0028906,32.8,0.10687,46.577,229.6,1.9798,6895,4.0399,6717,6968,83.12,6364,NaN,-77.052,34.656,-77.052,34.656,3.5132,6976,6648,46.577
4,247.7,0.46311,218.4,2.4345,210.9,4.2419,208.2,3.0115,29.3,0.067282,10.2,0.24099,9.9,238.2,1.9958,6887,4.2236,6792,6910,38.033,6442,NaN,-77.029,34.661,-77.029,34.662,3.4616,6919,6817,9.9
5,241.2,1.1196,222,2.4843,212.7,4.26,208.7,3.3415,19.2,0.071078,13.3,0.19093,13.861,235.7,1.9792,6892,4.2332,6804,6913,40.313,6467,NaN,-77.009,34.666,-77.009,34.666,3.4325,6914,6781,13.861
6,250,0.33811,218.2,2.7516,210.2,5.2768,204.9,3.2484,31.8,0.075897,13.3,0.31565,17.065,233.2,1.9986,6899,5.2768,6812,6931,48.403,6476,NaN,-76.988,34.67,-76.988,34.67,3.4348,6952,6819,17.065
7,271.4,0.51428,232.9,2.6757,224.6,4.4927,221.3,3.5936,38.5,0.05614,11.6,0.21892,11.595,254.9,1.997,6759,4.4525,6621,6781,53.322,6321,61.526,-76.965,34.674,-76.965,34.674,3.377,6788,6672,11.595
8,249.7,0.3346,223.6,2.9493,218.5,4.6014,214.3,3.2388,26.1,0.10018,9.3,0.32393,8.0219,236.1,1.9882,6841,3.5878,6753,6886,47.893,6415,NaN,-76.946,34.677,-76.946,34.677,3.3374,6858,6765,8.0219
9,259.1,0.3394,220.3,2.5848,211.3,4.7812,206.5,3.4582,38.8,0.05787,13.8,0.24405,15.485,238.2,1.9942,6892,4.8039,6740,6928,62.756,6456,51.632,-76.922,34.68,-76.922,34.681,3.347,6936,6798,15.485
10,251.1,0.33668,225.3,3.0486,222.9,4.2,217,3.3793,25.8,0.10511,8.3,0.47975,6.7712,239.9,1.9942,6779,4.0898,6725,6868,51.145,6390,NaN,-76.902,34.684,-76.902,34.684,3.3491,6831,6748,6.7712
