Profile,xMHW,yMHW,xToe,yToe,xCrest,yCrest,xHeel,yHeel,Beach Width,Beach Slope,Dune Width,Dune Slope,Dune Volume,x2m,y2m,2016 Crest Index,2016 yCrest,2016 xToe,2016 xHeel,2016 Dune Volume,2016 xMHW,2016 Beach Volume,Lon,Lat,Heel Lon,Heel Lat,Orientation,2017 Heel Index,2017 Toe Index,2017 Dune Volume
11,255.8,0.32666,225.6,2.6949,215.7,4.493,211.5,3.7545,30.2,0.078417,14.1,0.18163,13.975,242.8,1.9924,6849,4.4931,6737,6894,57.068,6416,NaN,-76.882,34.686,-76.882,34.687,3.3591,6886,6745,13.975
12,250.5,0.33897,235.5,2.4117,222.8,3.6495,221.8,3.2705,15,0.13818,13.7,0.097464,8.7577,237.7,1.999,6839,4.0795,6555,6860,84.736,6402,NaN,-76.858,34.689,-76.858,34.69,3.281,6783,6646,8.7577
13,252.5,0.52315,218.4,3.0237,213.6,3.9817,207.3,3.4953,34.1,0.07333,11.1,0.19959,7.561,239.3,1.9686,6897,4.0399,6784,6923,49.097,6492,56.495,-76.838,34.692,-76.838,34.692,3.2942,6928,6817,7.561
14,243.4,0.89736,239.1,1.4344,217.3,3.2687,216,3.0108,4.3,0.12489,23.1,0.084145,21.076,230.9,1.9916,6944,3.7306,6772,6955,58.737,6473,NaN,-76.815,34.694,-76.815,34.694,3.2812,6841,6610,21.076
15,261.8,0.34749,221.5,3.0361,215.4,4.5321,212.8,3.5465,40.3,0.066716,8.7,0.24524,6.5757,243.8,1.9986,6845,4.4746,6785,6873,33.268,6493,71.243,-76.793,34.696,-76.793,34.696,3.2492,6873,6786,6.5757
16,257.6,0.8272,230.9,2.4312,211,4.8619,203.6,4.2651,26.7,0.060077,27.3,0.12214,38.837,237,1.995,6892,4.8747,6696,6970,106.26,6479,39.538,-76.771,34.697,-76.772,34.697,3.1988,6965,6692,38.837
17,260.3,0.60069,219.8,2.5614,214.2,4.2459,209.4,3.3975,40.5,0.048412,10.4,0.30081,10.137,230.4,1.9954,6855,4.2188,6813,6900,31.707,6683,29.743,-76.75,34.697,-76.75,34.698,3.1109,6907,6803,10.137
18,257.4,0.81178,217.7,2.1486,206.9,3.8922,201.9,2.8846,39.7,0.033674,15.8,0.16144,11.023,252.1,1.9952,6933,3.8901,6907,6969,20.663,6698,45.364,-76.729,34.697,-76.729,34.697,3.0933,6982,6824,11.023
19,320.2,0.76052,238.9,2.3888,222.6,5.4784,220.4,4.4667,81.3,0.020028,18.5,0.18955,27.849,308.3,1.9961,6759,5.2745,6622,6792,67.238,5983,148.25,-76.707,34.694,-76.706,34.695,2.8956,6797,6612,27.849
20,292.2,0.6659,246.1,2.7209,228.4,6.2951,222.5,3.3766,46.1,0.044577,23.6,0.20193,39.151,282.1,1.9973,6719,6.3002,6579,6777,92.278,5999,NaN,-76.7,34.694,-76.7,34.695,3.0553,6776,6540,39.151
21,294.4,0.73732,228.3,2.7862,211.1,7.1192,200.2,4.0064,66.1,0.030997,28.1,0.25192,60.744,278.5,1.9923,6890,7.1192,6724,7003,138.89,5887,NaN,-76.689,34.693,-76.689,34.694,3.0213,6999,6718,60.744
22,321.3,1.0767,221.2,2.2897,199.7,5.4807,190.5,2.6395,100.1,0.012118,30.7,0.14842,43.894,235.5,1.9966,7005,5.4956,6804,7090,109.05,5902,165.69,-76.679,34.693,-76.679,34.694,3.0781,7096,6789,43.894
