Profile,xMHW,yMHW,xToe,yToe,xCrest,yCrest,xHeel,yHeel,Beach Width,Beach Slope,Dune Width,Dune Slope,Dune Volume,x2m,y2m,2016 Crest Index,2016 yCrest,2016 xToe,2016 xHeel,2016 Dune Volume,2016 xMHW,2016 Beach Volume,Lon,Lat,Heel Lon,Heel Lat,Orientation,2017 Heel Index,2017 Toe Index,2017 Dune Volume
1,305.8,0.41792,276.1,1.7297,270.5,3.1127,263.4,1.5155,29.7,0.044166,12.7,0.24697,11.882,274.5,1.9969,6296,3.1127,6240,6367,31.118,5943,31.419,-77.094,34.644,-77.094,34.644,3.4858,NaN,NaN,NaN
2,262.7,0.96808,226.1,2.1613,211.3,4.6845,204.8,3.4191,36.6,0.0326,21.3,0.17049,34.078,229.1,1.9946,6888,4.6845,6740,6953,80.05,6374,57.275,-77.074,34.65,-77.075,34.65,3.5672,NaN,NaN,NaN
3,263.7,0.3394,228.4,1.8382,210.6,3.9298,203.3,3.1534,35.3,0.04246,25.1,0.11751,31.508,226.5,1.9945,6895,3.9298,6717,6968,77.582,6364,48.573,-77.052,34.656,-77.052,34.656,3.5132,NaN,NaN,NaN
4,255.9,0.33603,220.9,1.9496,211.4,3.8986,209.1,2.9893,35,0.046101,11.8,0.20516,11.246,238.1,1.9953,6887,3.8986,6792,6910,34.199,6442,55.8,-77.029,34.661,-77.029,34.662,3.4616,NaN,NaN,NaN
5,253.4,0.3392,219.7,2.4766,210.9,4.0061,208.8,3.2852,33.7,0.063424,10.9,0.17381,10.701,238.4,1.9991,6892,4.0061,6804,6913,37.655,6467,59.153,-77.009,34.666,-77.009,34.666,3.4325,NaN,NaN,NaN
6,252.5,0.3378,218.9,2.3829,210.2,5.0622,207,3.2051,33.6,0.060867,11.9,0.30796,17.446,235,1.9947,6899,5.0622,6812,6931,45.761,6476,54.023,-76.988,34.67,-76.988,34.67,3.4348,NaN,NaN,NaN
7,268,0.33743,238,1.9281,224.2,4.0908,222,3.5528,30,0.053024,16,0.15671,19.164,237.4,1.9919,6759,4.0908,6621,6781,49.933,6321,42.632,-76.965,34.674,-76.965,34.674,3.377,NaN,NaN,NaN
8,261.1,0.32968,227.3,2.2101,218.5,4.4606,214,3.2389,33.8,0.055634,13.3,0.25573,15.109,246.7,1.9908,6841,4.4606,6753,6886,44.452,6415,57.524,-76.946,34.677,-76.946,34.677,3.3374,NaN,NaN,NaN
9,254.5,0.33501,226.1,2.0007,210.9,4.6024,207.3,3.5956,28.4,0.058651,18.8,0.17117,23.741,240.9,1.9947,6892,4.6024,6740,6928,61.274,6456,47.15,-76.922,34.68,-76.922,34.681,3.347,NaN,NaN,NaN
10,261.1,0.33006,227.6,2.476,222.2,4.0843,213.3,3.075,33.5,0.064058,14.3,0.29784,14.633,244.2,1.993,6779,4.0843,6725,6868,50.01,6390,56.973,-76.902,34.683,-76.902,34.684,3.3491,NaN,NaN,NaN
11,258.5,0.33102,226.4,2.3125,215.2,4.4347,210.7,3.6448,32.1,0.06173,15.7,0.18948,18.201,242.9,1.9923,6849,4.4347,6737,6894,54.441,6416,55.012,-76.882,34.686,-76.882,34.687,3.3591,NaN,NaN,NaN
12,259.9,0.33498,244.6,2.3148,216.2,3.9822,214.1,3.4986,15.3,0.1294,30.5,0.058712,12.781,247,1.9909,6839,3.9822,6555,6860,83.323,6402,19.904,-76.858,34.689,-76.858,34.69,3.281,NaN,NaN,NaN
13,250.9,0.56198,221.7,2.258,210.4,3.9861,207.8,3.5344,29.2,0.058084,13.9,0.15293,14.137,234.4,1.9978,6897,3.9861,6784,6923,45.46,6492,49.953,-76.838,34.692,-76.838,34.692,3.2942,NaN,NaN,NaN
14,252.8,0.44887,222.9,2.0419,205.7,3.705,204.6,3.5175,29.9,0.053279,18.3,0.096693,16.963,225.3,1.9995,6944,3.705,6772,6955,54.256,6473,46.379,-76.815,34.694,-76.815,34.694,3.2812,NaN,NaN,NaN
