Run,m,Cb,facAs,facSk,lsgrad,bedfriccoef,wetslp,beta,vegDensity,Dhigh Diff,Beach BSS,Dune BSS,BSS,RMSE,Score,Label,Color,Round,Growth Factor
40,0.684,1.3,0.463,0.446,0.065,0.051,0.207,150,1.959,-1.748,-0.359,0.868,0.331,0.45,6,Extreme Change,firebrick,1,102.6
41,0.452,1.331,0.743,0.148,-0.02,0.268,0.433,150,0.76,,1,1,1,,5,Did Not Complete,khaki,1,67.8
42,0.665,0.792,0.445,0.112,0.097,0.092,0.185,150,1.485,-1.774,0.106,0.959,0.586,0.354,6,Extreme Change,firebrick,1,99.75
43,0.278,0.99,0.372,0.861,0.084,0.036,0.69,150,1.059,-1.672,0.017,0.951,0.542,0.372,6,Extreme Change,firebrick,1,41.7
44,0.481,1.048,0.854,0.434,0.097,0.158,0.661,150,0.904,-1.455,0.692,0.813,0.76,0.27,6,Extreme Change,firebrick,1,72.15
45,0.585,1.198,0.633,0.243,-0.074,0.5,0.237,150,1.5,,1,1,1,,5,Did Not Complete,khaki,1,87.75
46,0.605,1.382,0.635,0.252,-0.026,0.236,0.885,150,0.549,,1,1,1,,5,Did Not Complete,khaki,1,90.75
47,0.87,1.145,0.401,0.253,-0.014,0.246,0.196,150,0.735,,1,1,1,,5,Did Not Complete,khaki,1,130.5
48,0.304,0.885,0.566,0.301,-0.042,0.312,0.312,150,1.384,,1,1,1,,5,Did Not Complete,khaki,1,45.6
49,0.984,1.23,0.375,0.567,-0.078,0.454,0.804,150,1.737,,1,1,1,,5,Did Not Complete,khaki,1,147.6
50,0.335,1.094,0.118,0.44,-0.037,0.089,0.243,150,1.727,-11.41,-493.275,-148.565,-299.52,9.536,6,Extreme Change,firebrick,1,50.25
51,0.185,1.099,0.477,0.657,0.04,0.323,0.127,150,1.134,-1.771,-0.311,0.955,0.401,0.426,6,Extreme Change,firebrick,1,27.75
52,0.388,1.031,0.624,0.426,0.064,0.362,0.875,150,0.603,-1.612,0.013,0.893,0.508,0.386,6,Extreme Change,firebrick,1,58.2
53,0.393,0.606,0.589,0.723,-0.015,0.055,0.313,150,1.297,502.067,-163.026,-26335.945,-14874.312,67.09,6,Extreme Change,firebrick,1,58.95
54,0.353,0.94,0.522,0.466,0.075,0.264,0.855,150,0.73,-1.63,0.102,0.918,0.561,0.365,6,Extreme Change,firebrick,1,52.95
55,0.962,0.741,0.641,0.331,0.034,0.351,0.154,150,1.457,,1,1,1,,5,Did Not Complete,khaki,1,144.3
56,0.302,1.168,0.776,0.376,0.056,0.341,0.105,150,0.882,-1.696,-0.078,0.976,0.514,0.383,6,Extreme Change,firebrick,1,45.3
57,0.448,1.416,0.101,0.47,-0.015,0.236,0.716,150,1.403,,1,1,1,,5,Did Not Complete,khaki,1,67.2
58,0.806,0.971,0.129,0.241,0.044,0.242,0.222,150,0.984,,1,1,1,,5,Did Not Complete,khaki,1,120.9
59,0.647,0.692,0.691,0.294,0.083,0.142,0.712,150,1.012,-1.369,0.512,0.791,0.669,0.317,6,Extreme Change,firebrick,1,97.05
60,0.359,0.591,0.561,0.647,0.009,0.219,0.616,150,0.783,,1,1,1,,5,Did Not Complete,khaki,1,53.85
61,0.711,1.136,0.856,0.267,0.042,0.126,0.196,150,1.471,-1.474,0.143,0.966,0.606,0.345,6,Extreme Change,firebrick,1,106.65
62,0.505,0.959,0.63,0.716,-0.03,0.334,0.433,150,1.411,,1,1,1,,5,Did Not Complete,khaki,1,75.75
63,0.85,0.756,0.591,0.566,0.008,0.436,0.312,150,1.763,-1.59,-131.781,0.345,-57.516,4.208,6,Extreme Change,firebrick,1,127.5
64,0.207,1.44,0.616,0.484,0.028,0.277,0.618,150,0.977,,1,1,1,,5,Did Not Complete,khaki,1,31.05
65,0.504,0.866,0.711,0.602,0.054,0.467,0.878,150,1.107,,1,1,1,,5,Did Not Complete,khaki,1,75.6
66,0.704,1.241,0.516,0.378,-0.07,0.297,0.31,150,1.09,,1,1,1,,5,Did Not Complete,khaki,1,105.6
67,0.734,0.942,0.116,0.365,-0.015,0.142,0.258,150,1.525,,1,1,1,,5,Did Not Complete,khaki,1,110.1
