Times,X MHW,Y MHW,MHW Ix,X Crest,Y Crest,Crest Ix,X Toe,Y Toe,Toe Ix,X Heel,Y Heel,Heel Ix,Dune Elevation,Dune Width,Aspect Ratio,Dune Volume,Beach Width,Beach Volume,Overwash Volume,Beach Slope,TWL,Fence Height,Impact Regime,Impact Regime Label
0,60,0.32793925692000003,5,16,4.474173199,49,22,2.914794881,43,13,3.488767551,52,1.5593783179999998,9,0.17326425755555552,29.639615407,38,68.54180927856,45.35397816300001,0.06807514800210526,1.6620903924559296,2.800132611,2,Overwash
1,62,0.3476699888706207,3,16,4.4741997718811035,49,22,2.914799928665161,43,13,3.488800048828125,52,1.5593998432159424,9,0.17326664924621582,29.639649629592896,40,70.15460519492626,45.354400634765625,0.0641782484948635,1.5610954957712828,2.800100088119507,2,Overwash
2,67,0.2775700092315674,2,16,4.4741997718811035,49,22,2.914799928665161,43,13,3.488800048828125,52,1.5593998432159424,9,0.17326664924621582,29.639649629592896,45,72.52306517958641,45.354400634765625,0.05860510932074653,1.2264868337920012,2.800100088119507,2,Overwash
3,67,0.33331000804901123,2,16,4.4741997718811035,49,22,2.914799928665161,43,13,3.488800048828125,52,1.5593998432159424,9,0.17326664924621582,29.639649629592896,45,72.9359849691391,45.354400634765625,0.057366442680358884,0.6723137210400633,2.800100088119507,2,Overwash
4,67,0.3435699939727783,2,16,4.4741997718811035,49,22,2.914799928665161,43,13,3.488800048828125,52,1.5593998432159424,9,0.17326664924621582,29.639649629592896,45,72.96361494064331,45.354400634765625,0.05713844299316406,0.3016775329783888,2.800100088119507,2,Overwash
5,67,0.3435699939727783,2,16,4.4741997718811035,49,22,2.914799928665161,43,13,3.488800048828125,52,1.5593998432159424,9,0.17326664924621582,29.639649629592896,45,72.96361494064331,45.354400634765625,0.05713844299316406,0.13653842634923252,2.800100088119507,2,Overwash
6,67,0.3435699939727783,2,16,4.4741997718811035,49,22,2.914799928665161,43,13,3.488800048828125,52,1.5593998432159424,9,0.17326664924621582,29.639649629592896,45,72.96361494064331,45.354400634765625,0.05713844299316406,0.03452922556591217,2.800100088119507,2,Overwash
7,67,0.3435699939727783,2,16,4.4741997718811035,49,22,2.914799928665161,43,13,3.488800048828125,52,1.5593998432159424,9,0.17326664924621582,29.639649629592896,45,72.96361494064331,45.354400634765625,0.05713844299316406,0.08558309009867761,2.800100088119507,2,Overwash
8,67,0.3435699939727783,2,16,4.4741997718811035,49,22,2.914799928665161,43,13,3.488800048828125,52,1.5593998432159424,9,0.17326664924621582,29.639649629592896,45,72.96361494064331,45.354400634765625,0.05713844299316406,0.24449066196117525,2.800100088119507,2,Overwash
9,67,0.3435699939727783,2,16,4.4741997718811035,49,22,2.914799928665161,43,13,3.488800048828125,52,1.5593998432159424,9,0.17326664924621582,29.639649629592896,45,72.96361494064331,45.354400634765625,0.05713844299316406,0.6208904214430799,2.800100088119507,2,Overwash
10,67,0.3484310804647999,2,16,4.4741997718811035,49,22,2.914799928665161,43,13,3.488800048828125,52,1.5593998432159424,9,0.17326664924621582,29.639649629592896,45,72.97653336602214,45.354400634765625,0.05703041884889692,0.9633643987502164,2.800100088119507,2,Overwash
11,67,0.3562691781354423,2,16,4.4741997718811035,49,22,2.914799928665161,43,13,3.488800048828125,52,1.5593998432159424,9,0.17326664924621582,29.639649629592896,45,73.03330022384549,45.354400634765625,0.056856238900660425,1.4549304575108735,2.800100088119507,2,Overwash
12,72,0.3031109905971928,1,16,4.4741997718811035,49,22,2.914799928665161,43,13,3.488800048828125,52,1.5593998432159424,9,0.17326664924621582,29.639649629592896,50,75.11597881634846,45.354400634765625,0.052233778761359366,1.6420102811534758,2.800100088119507,2,Overwash
13,72,0.3038179015512872,1,16,4.4741997718811035,49,22,2.914799928665161,43,13,3.488800048828125,52,1.5593998432159424,9,0.17326664924621582,29.639649629592896,50,75.37955837368233,45.354400634765625,0.05221964054227748,1.51319442541662,2.800100088119507,2,Overwash
